gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
348.1161,-168.6814,-184.0005,0.1364,428.3625,41.4057,0.024,345.4108,3353.8586,0.1092,0.00022,-0.0338,-0.063,0.0717,SHAKE1
349.3992,-185.0639,-176.941,0.1694,433.1703,4.8078,0.0329,378.5529,2580.5391,0.1235,0.000711,-0.0389,-0.0463,0.0985,SHAKE1
348.9069,-180.4167,-172.0685,0.2042,428.8283,4.342,0.0348,404.3691,1177.5334,0.1452,0.001388,-0.0465,-0.0275,0.1286,SHAKE1
357.8036,-160.0209,-178.861,0.2327,430.838,2.0096,0.0285,421.6312,303.4682,0.171,0.001908,-0.0519,-0.0082,0.1596,SHAKE1
385.146,-138.0042,-197.9826,0.2514,454.5104,23.6724,0.0186,435.1419,96.6742,0.1988,0.00174,-0.0559,0.0069,0.1893,SHAKE1
410.5137,-124.8065,-204.1111,0.2648,475.1415,20.6311,0.0135,444.4977,319.945,0.2245,0.001173,-0.0584,0.0191,0.2155,SHAKE1
430.8079,-107.9139,-206.9639,0.2815,489.9744,14.8328,0.0167,455.8586,578.8402,0.2469,0.000713,-0.062,0.0301,0.2369,SHAKE1
447.0432,-58.0749,-221.0367,0.3069,502.0732,12.0989,0.0254,470.5075,645.2814,0.2675,0.000644,-0.0648,0.0409,0.256,SHAKE1
460.0314,24.6557,-271.67,0.3159,534.8284,32.7552,0.009,491.3056,725.4228,0.2841,0.000596,-0.066,0.0531,0.2706,SHAKE1
470.422,96.8589,-319.736,0.3065,576.9832,42.1548,0.0094,515.8002,1322.793,0.2951,0.00036,-0.0637,0.0653,0.2799,SHAKE1
478.7345,144.3903,-358.1888,0.2953,615.089,38.1058,0.0112,543.7897,2180.4111,0.3012,0.00014,-0.0568,0.0749,0.2854,SHAKE1
485.3845,187.9435,-388.951,0.282,649.7721,34.6831,0.0132,575.7491,2826.2375,0.3013,0.000136,-0.0445,0.0787,0.2865,SHAKE1
490.7045,244.9673,-413.5609,0.2734,686.9006,37.1285,0.0087,612.7147,2845.0884,0.2946,0.000241,-0.0269,0.0746,0.2821,SHAKE1
494.9604,298.3707,-433.2487,0.2671,722.2986,35.3981,0.0063,650.2087,2627.762,0.2848,0.000206,-0.0051,0.0615,0.275,SHAKE1
490.8058,341.0934,-448.999,0.2587,747.5528,25.2542,0.0084,684.3226,2286.7827,0.2753,0.000158,0.0219,0.0421,0.266,SHAKE1
474.7603,362.8997,-461.5992,0.268,755.0943,7.5415,0.0093,712.3237,1545.7903,0.2698,5.9e-05,0.0538,0.0165,0.2559,SHAKE1
450.4676,376.1448,-471.6794,0.2961,752.9193,2.175,0.0282,732.9531,667.2767,0.2727,0.00016,0.0922,-0.0152,0.2442,SHAKE1
405.4397,367.419,-470.9966,0.3404,721.9528,30.9664,0.0443,739.9636,218.1643,0.2861,0.000898,0.1354,-0.0526,0.231,SHAKE1
348.7768,359.8258,-448.8879,0.3824,672.7706,49.1823,0.042,730.058,960.6129,0.3091,0.002151,0.18,-0.0947,0.2173,SHAKE1
304.1027,375.7638,-417.2354,0.4192,638.5626,34.2079,0.0368,708.2599,2098.5237,0.3412,0.003036,0.2228,-0.1391,0.205,SHAKE1
267.2196,403.0079,-347.1664,0.447,595.2699,43.2927,0.0278,676.295,3191.4268,0.377,0.002918,0.2604,-0.1835,0.1927,SHAKE1
231.0695,424.8032,-256.0581,0.4711,547.1898,48.0801,0.0241,635.1491,3657.8218,0.412,0.002155,0.2892,-0.2259,0.1807,SHAKE1
220.9118,442.2395,-177.3278,0.4781,525.1885,22.0013,0.007,595.7963,3020.467,0.4396,0.001244,0.308,-0.2619,0.1668,SHAKE1
244.5076,456.1885,-127.2747,0.4619,533.0016,7.8131,0.0163,567.8425,1842.6777,0.4555,0.000437,0.3155,-0.2891,0.1505,SHAKE1
282.3529,454.4383,-101.7385,0.4443,544.5989,11.5974,0.0176,549.0497,597.295,0.4605,0.000174,0.3125,-0.3086,0.1338,SHAKE1
289.4855,422.3631,-74.0783,0.4275,517.3781,27.2209,0.0168,533.4714,127.9678,0.4566,0.00034,0.3011,-0.3202,0.1197,SHAKE1
243.7134,375.3624,-41.1345,0.4011,449.4276,67.9504,0.0263,513.9189,1120.7018,0.4426,0.000717,0.2822,-0.3216,0.1104,SHAKE1
144.6957,298.268,-12.5264,0.3735,331.7492,117.6784,0.0276,475.2311,6235.7114,0.4216,0.00098,0.2582,-0.3145,0.1075,SHAKE1
13.3566,189.7957,10.4039,0.3522,190.5493,141.2,0.0213,406.7407,17086.0273,0.3997,0.001141,0.235,-0.3021,0.112,SHAKE1
-91.7147,54.5553,47.1044,0.3448,116.6477,73.9015,0.0074,321.1504,22790.1328,0.3798,0.000951,0.2155,-0.2852,0.1239,SHAKE1
-175.7718,-58.7558,97.0616,0.3536,209.2102,92.5625,0.0088,259.5168,13796.4971,0.3651,0.000416,0.2009,-0.2639,0.1455,SHAKE1
-243.0174,-143.314,168.093,0.3722,328.4077,119.1975,0.0186,235.3129,6946.6338,0.3593,0.000132,0.1932,-0.2372,0.1768,SHAKE1
-296.8139,-174.5043,236.8713,0.3964,417.9214,89.5136,0.0242,252.5473,11458.7871,0.3638,0.000346,0.1927,-0.2032,0.2166,SHAKE1
-339.8512,-146.4628,291.8939,0.4147,471.3303,53.4089,0.0183,308.7035,17109.7207,0.3763,0.00068,0.1969,-0.1597,0.2604,SHAKE1
-374.2809,-113.0734,335.912,0.4208,515.4694,44.1391,0.0061,388.4678,11920.7168,0.3915,0.000646,0.2025,-0.1015,0.3004,SHAKE1
